Name,Address,LSB,MSB,Type,Error,Direct LSB On Error,Direct MSB On Error
HWIO_QFPROM_RAW_FEAT_CONFIG_ROW1_LSB_ADDR,0xFC4B8100,0x00000001,0x0004785F,RAW,
HWIO_QFPROM_RAW_PTE_LSB_ADDR,0xFC4B80B0,0x00000498,0x20218D14,RAW,
HWIO_QFPROM_RAW_ACC_PRIVATEn_ADDR(2),0xFC4B8008,,,RAW,2,0,0
HWIO_QFPROM_RAW_ACC_PRIVATEn_ADDR(0),0xFC4B8000,,,RAW,2,0,0
HWIO_QFPROM_RAW_AP_ANTI_ROLLBACK_ROW1_LSB_ADDR,0xFC4B80C0,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_IMEI_ESN1_LSB_ADDR,0xFC4B80D8,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_DEBUG_KEY_LSB_ADDR,0xFC4B81A8,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_SPARE_REG19_LSB_ADDR,0xFC4B81F8,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_SEC_KEY_DERIVATION_KEY_ROWn_LSB_ADDR(2),0xFC4B83B8,,,RAW,9,0,0
HWIO_QFPROM_RAW_AP_ANTI_ROLLBACK_ROW0_LSB_ADDR,0xFC4B80B8,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_MEM_ACCEL_ROW1_LSB_ADDR,0xFC4B81B8,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_SPARE_REG28_ROW1_LSB_ADDR,0xFC4B8458,0x00000000,0x96D00000,RAW,
HWIO_QFPROM_RAW_SW_CALIB_ROW0_LSB_ADDR,0xFC4B8440,0x00000210,0x18700080,RAW,
HWIO_QFPROM_RAW_OEM_SEC_BOOT_ROWn_LSB_ADDR(2),0xFC4B8408,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_CALIB_ROW1_LSB_ADDR,0xFC4B81C8,,,RAW,14,2415919104,1679868120
HWIO_QFPROM_RAW_OEM_SEC_BOOT_ROWn_LSB_ADDR(0),0xFC4B83F8,0x00202020,0x00000000,RAW,
HWIO_QFPROM_RAW_SPARE_REG30_ROWn_LSB_ADDR(0),0xFC4B84F8,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_OEM_PK_HASH_ROWn_LSB_ADDR(1),0xFC4B83D8,0x00000000,0x00000000,RAW,
HWIO_QFPROM_ACCEL_ADDR,0xFC4BA040,,,RAW,2,260,5
HWIO_QFPROM_RAW_FEAT_CONFIG_ROW3_LSB_ADDR,0xFC4B8110,0x00004006,0x00007B00,RAW,
HWIO_QFPROM_RAW_USB_VID_PID_LSB_ADDR,0xFC4B8438,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_QC_SEC_BOOT_ROWn_LSB_ADDR(1),0xFC4B8420,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_ROM_PATCH_ROWn_LSB_ADDR(0),0xFC4B8200,,,RAW,14,0,0
HWIO_QFPROM_RAW_SEC_KEY_DERIVATION_KEY_ROW4_LSB_ADDR,0xFC4B83C8,,,RAW,9,0,0
Name,Address,LSB,MSB,Type,Error,Direct LSB On Error,Direct MSB On Error
HWIO_QFPROM_RAW_FEAT_CONFIG_ROW1_LSB_ADDR,0xFC4B8100,0x00000001,0x0004785F,RAW,
HWIO_QFPROM_RAW_PTE_LSB_ADDR,0xFC4B80B0,0x00000498,0x20218D14,RAW,
HWIO_QFPROM_RAW_ACC_PRIVATEn_ADDR(2),0xFC4B8008,,,RAW,2,0x00000000,0x00000000
HWIO_QFPROM_RAW_ACC_PRIVATEn_ADDR(0),0xFC4B8000,,,RAW,2,0x00000000,0x00000000
HWIO_QFPROM_RAW_AP_ANTI_ROLLBACK_ROW1_LSB_ADDR,0xFC4B80C0,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_IMEI_ESN1_LSB_ADDR,0xFC4B80D8,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_DEBUG_KEY_LSB_ADDR,0xFC4B81A8,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_SPARE_REG19_LSB_ADDR,0xFC4B81F8,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_SEC_KEY_DERIVATION_KEY_ROWn_LSB_ADDR(2),0xFC4B83B8,,,RAW,9,0x00000000,0x00000000
HWIO_QFPROM_RAW_AP_ANTI_ROLLBACK_ROW0_LSB_ADDR,0xFC4B80B8,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_MEM_ACCEL_ROW1_LSB_ADDR,0xFC4B81B8,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_SPARE_REG28_ROW1_LSB_ADDR,0xFC4B8458,0x00000000,0x96D00000,RAW,
HWIO_QFPROM_RAW_SW_CALIB_ROW0_LSB_ADDR,0xFC4B8440,0x00000210,0x18700080,RAW,
HWIO_QFPROM_RAW_OEM_SEC_BOOT_ROWn_LSB_ADDR(2),0xFC4B8408,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_CALIB_ROW1_LSB_ADDR,0xFC4B81C8,,,RAW,14,0x00000000,0x00000000
HWIO_QFPROM_RAW_OEM_SEC_BOOT_ROWn_LSB_ADDR(0),0xFC4B83F8,0x00202020,0x00000000,RAW,
HWIO_QFPROM_RAW_SPARE_REG30_ROWn_LSB_ADDR(0),0xFC4B84F8,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_OEM_PK_HASH_ROWn_LSB_ADDR(1),0xFC4B83D8,0x00000000,0x00000000,RAW,
HWIO_QFPROM_ACCEL_ADDR,0xFC4BA040,,,RAW,2,0x00000000,0x00000000
HWIO_QFPROM_RAW_FEAT_CONFIG_ROW3_LSB_ADDR,0xFC4B8110,0x00004006,0x00007B00,RAW,
HWIO_QFPROM_RAW_USB_VID_PID_LSB_ADDR,0xFC4B8438,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_QC_SEC_BOOT_ROWn_LSB_ADDR(1),0xFC4B8420,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_ROM_PATCH_ROWn_LSB_ADDR(0),0xFC4B8200,,,RAW,14,0x00000000,0x00000000
HWIO_QFPROM_RAW_SEC_KEY_DERIVATION_KEY_ROW4_LSB_ADDR,0xFC4B83C8,,,RAW,9,0x00000000,0x00000000
HWIO_QFPROM_RAW_CUST_KEY_ROWn_LSB_ADDR(1),0xFC4B81E8,,,RAW,4294967274,SKIP,SKIP
HWIO_QFPROM_RAW_JTAG_ID_LSB_ADDR,0xFC4B80A0,0x03710805,0x00000000,RAW,
HWIO_QFPROM_RAW_PRI_KEY_DERIVATION_KEY_ROWn_LSB_ADDR(1),0xFC4B8388,,,RAW,14,0x00000000,0x00000000
HWIO_QFPROM_RAW_SPARE_REG28_ROW2_LSB_ADDR,0xFC4B8460,0xB402492D,0x00924924,RAW,
HWIO_QFPROM_RAW_IMEI_ESN2_LSB_ADDR,0xFC4B80E0,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_SPARE_REG29_ROWn_LSB_ADDR(1),0xFC4B8470,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_ROM_PATCH_ROWn_LSB_ADDR(2),0xFC4B8210,,,RAW,14,0x00000000,0x00000000
HWIO_QFPROM_RAW_RD_WR_PERM_LSB_ADDR,0xFC4B80A8,0x00700000,0x3FF6EE0E,RAW,
HWIO_QFPROM_RAW_OEM_SEC_BOOT_ROWn_LSB_ADDR(1),0xFC4B8400,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_FEC_EN_LSB_ADDR,0xFC4B81D0,0x00200000,0x00000000,RAW,
HWIO_QFPROM_RAW_FEAT_CONFIG_ROW0_LSB_ADDR,0xFC4B80F8,0x00380190,0x00600000,RAW,
HWIO_QFPROM_RAW_PRI_KEY_DERIVATION_KEY_ROWn_LSB_ADDR(2),0xFC4B8390,,,RAW,14,0x00000000,0x00000000
HWIO_QFPROM_RAW_SPARE_REG31_ROWn_LSB_ADDR(0),0xFC4B8580,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_SEC_KEY_DERIVATION_KEY_ROWn_LSB_ADDR(0),0xFC4B83A8,,,RAW,9,0x00000000,0x00000000
HWIO_QFPROM_RAW_CALIB_ROW0_LSB_ADDR,0xFC4B81C0,,,RAW,14,0x00000000,0x00000000
HWIO_QFPROM_RAW_SPARE_REG30_ROWn_LSB_ADDR(1),0xFC4B8500,0x00000000,0x00000000,RAW,
HWIO_QFPROM_RAW_ACC_PRIVATEn_ADDR(1),0xFC4B8004,,,RAW,2,0x00000000,0x00000000
HWIO_QFPROM_RAW_SERIAL_NUM_LSB_ADDR,0xFC4B81F0,0x061FA9B8,0x08000015,RAW,
